15 основных задач гражданской обороны не включают,вакцинацию населения в случае угрозы возникновения эпидемии
"Отметьте правильное и наиболее полное из ниже приведённых высказывание, связанное с экстремистскими и/или террористическими движениями и вовлечением людей в их деятельность","терроризм - это экстремизм, реализованный в активных, общественно опасных действиях (или угрозах), направленных на устрашения населения, или власти, или отдельных представителей (власти), и/или групп населения для достижения политических (экономических) целей"
"Отметьте правильное и наиболее полное из ниже приведённых мнений о том, как надо поступать, если ваш родственник попал в заложники: Студент Иванов считает, что надо стараться прорваться через оцепление поближе к заложникам и постараться помочь им. Студент Петров считает, что прежде всего надо постараться избежать истерики и паники. Студент Сидоров считает, что не надо ругать и в чем-либо обвинять сотрудников правоохранительных органов и представителей власти, так как от их морального состояния в первую очередь зависит жизнь близких",Правы только Петров и Сидоров
Отметьте справедливое и наиболее полное утверждение:,"справедливы высказывания, касающиеся описаний порядка действий, если сигнал «Внимание всем» Вас дома и на улице"
Отметьте справедливое утверждение,Основные принципы государственной политики по обеспечению БЖД населения включают приоритет безопасности человека и общества
"Отметьте справедливое утверждение, касательно того, как необходимо поступать если вас эвакуируют из дома:","следовать маршрутом, указанным властями"
"Отметьте справедливое утверждение, касательно того, как следует вести себя в своем доме при угрозе террористического акта","Прежде чем открывать ключом входную дверь, убедиться, что поблизости никого нет"
Парраллельный импорт,Нарушает имущественные права правообладателя 
Пенсии выплачиваются из,Пенсионного фонда РФ
Перечислите предусмотренные Гражданским кодексом виды соавторства,Нераздельное
Плагиат - это,Дословное присвоение авторства всего произведения или его части
Поведенческие проявления стресса выражаются в,Качестве сна
Повышение эффективности деятельности человека в присутствии других людей называется,Социальной фасилитацией
Подавление эффективности деятельности человека в присутствии других людей чаще всего вызвано,"Уровнем сложности задачи, поставленной перед индивидом"
"Показатель DALY (disability-adjusted life year), характеризующий количество потерянных лет качественной жизни, также называемый «годы жизни, скорректированные по нетрудоспособности», или «потерянные годы качественной жизни», подразумевает, что (выбрать правильный и наиболее полный ответ):",мужчина способен прожить 80 лет здоровой жизни и эта цифра принимается как одна из основ для расчёта показателя DALY
"Показатель DALY (disability-ajusted life year), характеризующий количество потерянных лет качественной изни, также называемый ""годы жизни, скорректированные по нетрудоспособности"", или ""потерянные годы качественной жизни"", подразумевает, что (выбрать правильный и наиболее полный ответ):","Мужчина способен прожить 80 лет здоровой жизни, а женщина 82,5 года здоровой жизни и эти цифр принимаются как одна из основ для расчёта показателя DALY"
Пользователь разместил в социальной сети нелицензионную копию фильма. Ответственность несет,"владельцы социальной сети, если не передадут персональные данные пользователя по запросу правообладателя и не заблокируют доступ к нелицензионному контенту"
Понятие личной заинтересованности охватывает,"Родственников и любых иных физических и юридических лиц, с которыми должностное лицо, связано имущественными, корпоративными или иными близкими отношениями"
Потребности биологического характера выражаются в следующих аспектах,Питание
Потребности духовного характера выражаются в следующих аспектах,Реализация творческих способностей
Потребности психологического характера выражаются в следующих аспектах,Доверие
Потребности социального характера выражаются в следующих аспектах,взаимодействие с другими
Предельно допустимая концентрация (ПДК) вредного вещества в атмосфере,"Максимальная концентрация вещества, которое при повседневном воздействии на организм человека в течение длительного времени не вызывает патологических изменений или заболеваний"
Преимуществом индивидуального предпринимателя как организационно-правовой формы является,Более простое налогообложение
Преимуществом общества с ограниченной ответственностью как организационно-правовой формы является,ограниченная ответственность по своим обязательствам
Претендовать на авторство служебного научного произведения (отчета) вправе,Непосредственные участники НИР 
При возникновении конфликта интересов госслужащий обязан,Письменно сообщить о наличии конфликта интересов вышестоящему руководителю
При патентной системе налогообложения фирма,приобретает патент
При применении патентного налогообложения величина налога (стоимость патента) зависит от,региона и вида деятельности
При стандартной системе налогооблажения фирма,является плательщиком всех налогов
При упрощенной системе налогообложения налогооблагаемой базой является,доходы либо доходы за вычетом расходов
При упрощенной системе налогообложения фирма,Не является плательщиком налога на добавленную стоимость
Природная сфера характеризует:,Проявление природных стихийных явлений
Присвоение чужих научных идей это,формально не нарушает чьи-либо права на РИД
"Причины, способствующие частичной и региональной деградации природной среды в результате антропогенного и техногенного влияния",Рост потребления и концентрация энергетических ресурсов
"Проблемы сравнения при экономическом выборе наблюдаются, когда",не выполняется аксиома транзитивности предпочтений
Программа для ЭВМ охраняется,Авторским правом
Различают следующие виды мониторинга окружающей среды:,Глобальный
Распространяется ли право не свидетельствовать против себя самого и членов своей семьи на гражданского супруга,нет
"Регион биосферы в прошлом, преобразованный людьми в целях наилучшего соответствия своим материальным и социально-экономическим потребностям",
"Регистрация авторских прав в отношении литературного произведения, а также произведения науки или искусства",Может осуществляться в форме добровольного депонирования автором рукописи в негосударственных информационных онлайн системах
"Решая вопросы безопасности системы ""человек-среда"", необходимо учитывать особенности человека как",объекта защиты
"С точки зрения безопасности экосистем, принципиальный недостаток технологий, развиваемых до последнего времени, заключается в том, что они",Приводят к нарушению круговорота веществ в экосистемах
Сколько выделяют уровней стрессоустойчивости,3
Сколько существует основных стадий здорового сна?,2
"Согласно данным ВОЗ среди веществ, загрязняющих атмосферу, негативно влияют на здоровье твердые частицы размером",менее 2.5мкм
Согласно концепции временной стоимости денег некоторая денежная сумма сегодня,"Имеет более высокую ценность, чем такая же денежная сумма через определённый промежуток времени"
"Создание условий, обеспечивающих сохранения, укрепления и приумножения здоровья людей и соответственно, их благополучия является целью",Нормирования окружающей среды
Социальные налоговые вычеты,связаны с определенными видами расходов 
"Специалист, имеющий высшее медицинское образование, а также право ставить диагнозы и выписывать медицинские препараты, направленные на коррекцию в сфере правильного питания",Диетолог
Способом удовлетворения психологических потребностей является,близкие отношения
Способом удовлетворения социальных потребностей является,Участие в активистских движениях
"Среднее, наиболее оптимальное количество часов сна для людей возрастных категорий 18-25 и 26-64 лет",7-9
Ставка налога на профессиональный доход по операциям самозанятого с физическими лицами составляет,4%
Ставка налога на профессиональный доход по операциям самозанятого с юридическими лицами составляет,6%
Стандартные налоговые вычеты,ориентированы на льготные категории граждан
"Стохастические (вероятностные) эффекты, такие как злокачественные новообразования, генетические нарушения, могут возникать",При любой дозе излучения
"Структурные компоненты белков (протеинов, полипептидов)",Аминокислоты
Структурные перестройки организма по причине исчерпания функциональных резервов организма происходят в процессе стрессового воздействия на,Фазе истощения
Техносфера - это...:,"Регион биосферы в прошлом, преобразованный людьми в целях наилучшего соответствия своим материальным и социально-экономическим потребностям"
У автора научного открытия,возникает неимущественное право считаться автором открытия
У каких из приведенных органов наибольший отрицательны биологический эффект от поглощённого ионизирующего излучения?,Органы дыхания
Укажите верные утверждения,"Уголовная ответственность за размещение репосты и экстремистских материалов в сети Интернет не применяется, если это было сделано пользователем однократно в течение года "
Укажите наиболее правильное определение гликемического индекса (ГИ/GI),"Показатель влияния углеводов в продуктах питания на изменение уровня глюкозы в крови, относительно влияния чистой глюкозы"
Укажите фазу стресса,Сопротивления (резистенции)
Умышленное уклонение от уплаты налогов наказывается,Вплоть до уголовного преследования
Управление стрессом может быть реализовано путем,Ухода из стрессовой ситуации
Участие граждан в местном самоуправлении может осуществляться в форме,Общественных слушаний
Участники с каким статусом стараются избегать группу и активного участия в её деятельности?,Отшельники
Фактором силы влияния стрессового воздействия на человека являются,Уровень субъективного контроля над ситуацией
"Феномен социальной лености прежде всего характерен тем, что",Коллективные усилия не превышают и половины суммы максимально возможных индивидуальных усилий
Химическая формула глюкозы,C6H12O6
Художественно-конструкторское решение изделия промышленного или кустарно-ремесленного производства охраняется как,Промышленный образец
Что из перечисленного НЕ относится к основным факторам синтеза белка?,Повышенная концентрация витаминов
Что из перечисленного НЕ относится к функциям белков?,Все относятся
Что из перечисленного НЕ относится к функциям белков?,электрическая
Что из перечисленного НЕ является кровеносными сосудами?,
Что из перечисленного характерно для работы по найму,гарантированный доход 
Что из перечисленного характерно для работы по найму,Наличие строго определенных должностных обязанностей
Что из перечисленного характерно для работы по найму,низкие риски
Что из перечисленного характерно для работы по найму,социальные гарантии
Что НЕ относится к составляющей личной гигиены?,Цифровая гигиена
"Что НЕ является категорией статусов, выделяемых в группе",Гении
Что означает REM - сон?,rapid eye movement
Что означает аббревиатура ГМВ в разрезе классификации мышечных волокон?,Гликолитическое мышечное волокно
Что означает аббревиатура ОМВ в разрезе классификации мышечных волокон?,Окислительное мышечное волокно
Что подразумевается под словосочетанием «двигательная единица» мышечного волокна?,Мононейрон
Что такое адипоциты?,"Основной тип клеток, из которых состоит жировая ткань"
Что такое алкогольдегидрогиназа?,фермент 
Что такое липолиз?,Метаболический процесс расщепления жиров
Что характерно для феномена «группового мышления»? Выберите несколько вариантов ответа:,Группа ограничивает обсуждение и выбор.
"Юридически значимым последствием выявления академической недобросовестности при подготовки диссертационного исследования сетевым сообществом ""Диссернет"" является",Обращение в ВАК с заявлением о лишении ученой степени
"Явление, характерное физиологическим и психическим напряжением, в ходе которого нарушается работа процессов адаптации организма, появляется чувство беспомощности и ряд физиологических и психо-эмоциональных негативных реакций, называется",Дистрессом
"Явление, характерное физиологическим и психическим напряжением, в ходе которого стимулируется работа процессов адаптации организма называется",Эустрессом
Биосфера – это…,"Область распространения жизни на Земле, включающая нижний слой атмосферы, гидросферу и верхний сой литосферы, не испытавших технического воздействия"
Биосфера – это…,"Область распространения жизни на Земле, включающая нижний слой атмосферы, гидросферу и верхний сой литосферы, не испытавших технического воздействия"
Биосфера – это…:,"Область распространения жизни на Земле, включающая нижний слой атмосферы, гидросферу и верхний сой литосферы, не испытавших технического воздействия "
Биосфера – это…:,"Область распространения жизни на Земле, включающая нижний слой атмосферы, гидросферу и верхний сой литосферы, не испытавших технического воздействия"
Биосфера – это…:,"Область распространения жизни на Земле, включающая нижний слой атмосферы, гидросферу и верхний сой литосферы, не испытавших технического воздействия "
Биосфера – это…:,"Область распространения жизни на Земле, включающая нижний слой атмосферы, гидросферу и верхний сой литосферы, не испытавших технического воздействия"
Биосфера – это…:,"Область распространения жизни на Земле, включающая нижний слой атмосферы, гидросферу и верхний сой литосферы, не испытавших технического воздействия "
В состав биосферы Земли входят,гидросфера
В состав биосферы Земли входят:,гидросфера
В состав биосферы Земли входят:,гидросфера
В состав биосферы Земли входят:,гидросфера
В состав биосферы Земли входят:,гидросфера 
В состав биосферы Земли входят:,гидросфера
В состав биосферы Земли входят:,гидросфера
В состав биосферы Земли входят:,гидросфера
В чем недостаток парадигмы ПДК и ПДУ?,*Непонятно какой физико-химический фактор оказывает наиболее токсическое воздействие на человека
В чем недостаток парадигмы ПДК и ПДУ?,Ограниченное число измеряемых показателей среды
В чем недостаток парадигмы ПДК и ПДУ?,Ограниченное число измеряемых показателей среды
В чем недостаток парадигмы ПДК и ПДУ?,Ограниченное число измеряемых показателей среды
В чем недостаток парадигмы ПДК и ПДУ?,*Зависим от сезонных колебаний условий среды 
"В чем недостаток парадигмы ПДК и ПДУ?
Выберите один ответ:",Ограниченное число измеряемых показателей среды
"Выберите вещества, которые относятся к мало опасным:",*Дихлордифенилтрихлорэтан (ДДТ)
"Выберите вещества, которые относятся к мало опасным:",*марганец
"Выберите вещества, которые относятся к мало опасным:",Сероводород
"Выберите вещества, которые относятся к мало опасным:
",Сероводород 
"Выберите вещества, которые относятся к мало опасным:
Выберите один ответ:",*Марганец
"Выберите вещества, которые относятся к чрезвычайно опасным",Полоний
"Выберите вещества, которые относятся к чрезвычайно опасным",Полоний
"Выберите вещества, которые относятся к чрезвычайно опасным:",*Хлор
"Выберите вещества, которые относятся к чрезвычайно опасным:",Полоний 
"Выберите вещества, которые относятся к чрезвычайно опасным:",Полоний
"Выберите вещества, которые относятся к чрезвычайно опасным:",*Сероводород 
"Выберите вещества, которые относятся к чрезвычайно опасным:",*Хлор
"Выберите пропущенное слово. При воздействии ЭМП высоких частот (длина волны меньше 200 нм) на живой организм имеет место ... воздействие, которое является результатом ряда физико-химических процессов взаимодействия внешних электромагнитных полей с молекулами организма.",нетепловое
"Выберите пропущенное слово. При воздействии ЭМП высоких частот (длина волны меньше 200 нм) на живой организм имеет место ... воздействие, которое является результатом ряда физико-химических процессов взаимодействия внешних электромагнитных полей с молекулами организма.",нетепловое
"Выберите пропущенное слово. При воздействии ЭМП высоких частот (длина волны меньше 200 нм) на живой организм имеет место ... воздействие, которое является результатом ряда физико-химических процессов взаимодействия внешних электромагнитных полей с молекулами организма.",*внешнее 
"Выберите пропущенное слово. При воздействии ЭМП высоких частот (длина волны меньше 200 нм) на живой организм имеет место ... воздействие, которое является результатом ряда физико-химических процессов взаимодействия внешних электромагнитных полей с молекулами организма.",*тепловое
"Выберите пропущенное слово. При воздействии ЭМП высоких частот (длина волны меньше 200 нм) на живой организм имеет место ... воздействие, которое является результатом ряда физико-химических процессов взаимодействия внешних электромагнитных полей с молекулами организма.",нетепловое
"Выберите пропущенное слово. При воздействии ЭМП высоких частот (длина волны меньше 200 нм) на живой организм имеет место ... воздействие, которое является результатом ряда физико-химических процессов взаимодействия внешних электромагнитных полей с молекулами организма.",нетепловое
"Выберите пропущенное слово. При воздействии ЭМП высоких частот (длина волны меньше 200 нм) на живой организм имеет место ... воздействие, которое является результатом ряда физико-химических процессов взаимодействия внешних электромагнитных полей с молекулами организма.",нетепловое
"Выберите пропущенное слово. При воздействии ЭМП высоких частот (длина волны меньше 200 нм) на живой организм имеет место ... воздействие, которое является результатом ряда физико-химических процессов взаимодействия внешних электромагнитных полей с молекулами организма.",нетепловое 
"Выберите пропущенное слово. При воздействии ЭМП высоких частот (длина волны меньше 200 нм) на живой организм имеет место ... воздействие, которое является результатом ряда физико-химических процессов взаимодействия внешних электромагнитных полей с молекулами организма.",нетепловое
"Выберите пропущенное слово. При воздействии ЭМП высоких частот (длина волны меньше 200 нм) на живой организм имеет место ... воздействие, которое является результатом ряда физико-химических процессов взаимодействия внешних электромагнитных полей с молекулами организма.",нетепловое
Главная движущая сила круговорота кислорода в биосфере:,фотосинтез растений на суше и фитопланктон в океане 
Главная движущая сила круговорота кислорода в биосфере:,фотосинтез растений на суше и фитопланктон в океане
Главная движущая сила круговорота кислорода в биосфере:,фотосинтез растений на суше и фитопланктон в океане
Главная движущая сила круговорота кислорода в биосфере:,фотосинтез растений на суше и фитопланктон в океане
"Главная движущая сила круговорота кислорода в биосфере:
Выберите один ответ:",*окислительно-восстановительные процессы в живых организмах
Движущая сила большого круговорота веществ в биосфере:,*фотосинтез
Движущая сила большого круговорота веществ в биосфере:,*фотосинтез
Движущая сила большого круговорота веществ в биосфере:,выветривание почвы
Движущая сила большого круговорота веществ в биосфере:,выветривание почвы
"Движущая сила большого круговорота веществ в биосфере:
",выветривание почвы
За единицу измерения биологического эффекта ионизирующего излучения принят,*Грей
За единицу измерения биологического эффекта ионизирующего излучения принят:,Бэр
За единицу измерения биологического эффекта ионизирующего излучения принят:,Грей
За единицу измерения биологического эффекта ионизирующего излучения принят:,*Грей
"За единицу измерения биологического эффекта ионизирующего излучения принят:
Выберите один ответ:",Бэр
Закон лимитирующих факторов,"Лимитирующим фактором может быть, как минимум, так и максимум экологического влияния, диапазон между минимумом и максимумом определяет степень выносливости организма к данному фактору"
Закон лимитирующих факторов,"Лимитирующим фактором может быть, как минимум, так и максимум экологического влияния, диапазон между минимумом и максимумом определяет степень выносливости организма к данному фактору"
Закон лимитирующих факторов,"Лимитирующим фактором может быть, как минимум, так и максимум экологического влияния, диапазон между минимумом и максимумом определяет степень выносливости организма к данному фактору"
"Запасы пресной воды на планете Земля сосредоточены, в основном в:",криосфере (ледники)
"Запасы пресной воды на планете Земля сосредоточены, в основном в:",криосфере (ледники)
"Запасы пресной воды на планете Земля сосредоточены, в основном в:",криосфере (ледники)
"Запасы пресной воды на планете Земля сосредоточены, в основном в:",криосфере (ледники)
"Запасы пресной воды на планете Земля сосредоточены, в основном в:",криосфере (ледники) 
К биокосному веществу биосферы относится:,почво-грунты
К биокосному веществу биосферы относится:,почво-грунты
К биокосному веществу биосферы относится:,почво-грунты
К биокосному веществу биосферы относится:,почво-грунты
К факторам экологического риска относятся,загрязнение почвы отходами производства
К факторам экологического риска относятся,загрязнение почвы отходами производства
К факторам экологического риска относятся:,загрязнение почвы отходами производства
К факторам экологического риска относятся:,загрязнение почвы отходами производства
К факторам экологического риска относятся:,загрязнение почвы отходами производства
К факторам экологического риска относятся:,загрязнение почвы отходами производства 
К факторам экологического риска относятся:,загрязнение почвы отходами производства
"К факторам экологического риска относятся:
Выберите один ответ:",загрязнение почвы отходами производства
К физически опасным и вредным факторам природного происхождения относится,уровень солнечной радиации и радиоактивность
К физически опасным и вредным факторам природного происхождения относится:,уровень солнечной радиации и радиоактивность
К физически опасным и вредным факторам природного происхождения относится:,Тарабан
К физически опасным и вредным факторам природного происхождения относится:,уровень солнечной радиации и радиоактивность 
К физически опасным и вредным факторам природного происхождения относится:,уровень солнечной радиации и радиоактивность
К физически опасным и вредным факторам природного происхождения относится:,уровень солнечной радиации и радиоактивность 
"Как называют эффект усиления взаимного действия факторов на организм, который затрудняет оценку качества окружающей среды?",синергизм 
"Как называют эффект усиления взаимного действия факторов на организм, который затрудняет оценку качества окружающей среды?",синергизм
"Как называют эффект усиления взаимного действия факторов на организм, который затрудняет оценку качества окружающей среды?",синергизм
Какая из угроз представляет планетарную опасность:,Истощение возобновляемых и не возобновляемых природных ресурсов
Какая из угроз представляет планетарную опасность:,Истощение возобновляемых и не возобновляемых природных ресурсов
Какая из угроз представляет планетарную опасность:,Истощение возобновляемых и не возобновляемых природных ресурсов 
Какая из угроз представляет планетарную опасность:,Истощение возобновляемых и не возобновляемых природных ресурсов
Какая из угроз представляет планетарную опасность:,Истощение возобновляемых и не возобновляемых природных ресурсов
Какая из угроз представляет планетарную опасность:,Истощение возобновляемых и не возобновляемых природных ресурсов 
"Какая из угроз представляет планетарную опасность:
Выберите один ответ:",Истощение возобновляемых и не возобновляемых природных ресурсов
Какие из перечисленных явлений и процессов следует отнести к экологическим проблемам:,глобальное потепление климата 
Какие из перечисленных явлений и процессов следует отнести к экологическим проблемам:,глобальное потепление климата
Какие из перечисленных явлений и процессов следует отнести к экологическим проблемам:,глобальное потепление климата 
"Какие из перечисленных явлений и процессов следует отнести к экологическим проблемам:
Выберите один ответ:",глобальное потепление климата
Какой путь поступления вредных веществ в организм человека наиболее распространён?,через органы дыхания
Какой путь поступления вредных веществ в организм человека наиболее распространён?,через органы дыхания
Какой путь поступления вредных веществ в организм человека наиболее распространён?,через органы дыхания
"Какой путь поступления вредных веществ в организм человека наиболее распространён?
Выберите один ответ:",через органы дыхания
Количественное представление критериев безопасности в окружающей среде (ОС),Не превышение текущими значениями анализируемых параметров ОС законодательно установленных пороговых значений ПДК и ПДУ
Количественное представление критериев безопасности в окружающей среде (ОС):,Не превышение текущими значениями анализируемых параметров ОС законодательно установленных пороговых значений ПДК и ПДУ
